"","OriginalMin","ImputedMinMin","ImputedMinMean","ImputedMinMax","OriginalMax","ImputedMaxMin","ImputedMaxMean","ImputedMaxMax"
"1",1.79247368421053,-3.97444848956133,16.7332960594938,37.4410406085489,1.79247368421053,1.33480916913889,38.8698367098277,76.4048642505165
"2",62.9,-3.79940543559655,13.8877441774204,31.5748937904374,62.9,2.5315245826927,35.8967046349951,69.2618846872976
"3",28,-5.18282986678347,17.1928835823086,39.5685970314007,28,3.6558322652561,37.3756997110629,71.0955671568697
"4",0.25,-3.70618770672118,15.8978494161502,35.5018865390216,0.25,2.67082773214204,38.219965553948,73.769103375754
"5",14.1,-3.80189137991434,15.7520789310483,35.3060492420109,14.1,2.39771189084888,38.3324746020416,74.2672373132343
"6",30.194,-4.26118412759731,16.3778251508879,37.0168344293732,30.194,2.27964399827768,37.399150319925,72.5186566415722
"7",0.56,-4.82753732282799,16.5618774195387,37.9512921619054,0.56,3.08113175407971,36.4953778685259,69.909623982972
"8",16.61,-4.29258851286506,16.9194056903973,38.1313998936597,16.61,2.1394721990798,38.374436438883,74.6094006786863
"9",16.7,-4.052226085336,16.1875606647379,36.4273474148119,16.7,2.61814081739325,37.6046825971197,72.5912243768461
"10",68.7,-3.9499588907969,14.6743227027863,33.2986042963694,68.7,2.66163681742376,34.6232771300698,66.5849174427159
"11",128.333333333333,-3.41884121506696,14.2825429380672,31.9839270912013,128.333333333333,2.62189073924124,34.5348257274036,66.447760715566
"12",20.65,-3.94376630172193,15.7595381064222,35.4628425145663,20.65,2.03665667747237,37.680448451337,73.3242402252015
"13",28.37,-5.25539297065323,16.3941752319489,38.0437434345511,28.37,1.05712450322894,37.3793668616451,73.7016092200612
"14",1.46,-4.54822290367392,16.6541602374804,37.8565433786346,1.46,3.18054517088837,38.9361074074567,74.6916696440249
"15",2.6,-3.93456928396402,16.638928986743,37.2124272574501,2.6,3.28763459854061,38.1429019004494,72.9981692023582
"16",3.935,-4.60339155920644,16.5180319934036,37.6394555460136,3.935,1.9668566219556,38.5054518469302,75.0440470719047
"17",3.3,-4.23289400576927,16.3278541898903,36.88860238555,3.3,2.83626910921728,38.294000779691,73.7517324501647
"18",0.77,-3.94952251635531,15.9007226952502,35.7509679068557,0.77,2.16223372955719,38.5474160787538,74.9325984279505
"19",0.835,-2.85262785990001,15.4740869117727,33.8008016834455,0.835,2.25896869508797,35.7937912952758,69.3286138954636
"20",2.8,-4.60346711610528,15.6260187252341,35.8555045665735,2.8,2.48170309939449,37.3873221781903,72.2929412569862
"21",1.215,-4.02511896003837,16.1464980486978,36.318115057434,1.215,2.75665069169327,37.2487798607473,71.7409090298014
"22",5.1,-4.27521173988015,16.6883923610363,37.6519964619527,5.1,2.60557823966066,37.0927008923472,71.5798235450337
"23",0.9,-4.22909161421733,16.3496866899054,36.9284649940281,0.9,3.30232457642761,38.55191918222,73.8015137880125
"24",0.9,-4.23463455644147,17.1998017152704,38.6342379869823,0.9,2.93075546164535,38.9634112805641,74.9960670994828
"25",126.08,-1.58933164897996,12.4871547075793,26.5636410641385,126.08,3.3065922390636,34.138268891179,64.9699455432943
"26",1.29664929243099,-4.23251748843346,15.9160746575724,36.0646668035782,1.29664929243099,2.70398017679235,37.2975456796406,71.8911111824888
"27",0.0707102775708169,-4.21947309626756,16.0180908510823,36.2556547984322,0.0707102775708169,3.13579757634403,37.5689675485646,72.0021375207851
"28",7.06557104837369,-4.66123415391974,16.872065882464,38.4053659188478,7.06557104837369,4.0773940150634,36.8718093460078,69.6662246769523
"29",3.2,-4.57347755435387,16.2240694998159,37.0216165539857,3.2,1.57056002668607,39.0240574370674,76.4775548474487
"30",0.87,-4.78403443617848,15.6079698093482,35.9999740548749,0.87,1.42799078919615,36.8439015748761,72.2598123605561
"31",11.6168350770049,-4.63794675355607,15.6950014720664,36.0279496976888,11.6168350770049,0.462192601234065,36.3019533532771,72.1417141053202
"32",16.4,-5.28866115624732,15.9636591848648,37.2159795259769,16.4,2.05823683365872,36.9410738396648,71.8239108456709
"33",14.46775,-5.20773463759847,16.5132892476671,38.2343131329326,14.46775,2.38623546362919,35.8746215406322,69.3630076176353
"34",7.56,-4.89134089133595,16.3862006368872,37.6637421651104,7.56,2.54593974261565,37.8765241482472,73.2071085538788
"35",3.17489868342435,-3.89708624496502,16.4933079138562,36.8837020726774,3.17489868342435,3.12334088462189,37.7012039807161,72.2790670768103
"36",6.60181958593922,-5.27761453894194,16.5149626915807,38.3075399221034,6.60181958593922,2.75339922606317,37.8982874651316,73.0431757042
"37",4,-4.02110744477983,16.407879193139,36.8368658310578,4,2.29113944531939,36.3949172164029,70.4986949874864
"38",0.395,-4.93990511640292,16.4938207658539,37.9275466481106,0.395,3.12377903177521,37.3014386265916,71.479098221408
"39",1.65,-4.45173769788217,15.9607960921127,36.3733298821075,1.65,3.25384829398881,37.6283013987905,72.0027545035923
"40",6.92044821461966,-5.08644965980818,16.0583295103743,37.2031086805568,6.92044821461966,1.54077838829351,36.5723606704435,71.6039429525936
"41",0.26,-4.4690415692496,15.7205940767695,35.9102297227887,0.26,1.81055473592971,37.4785319371313,73.1465091383329
