"","family","growthrateMin","growthrateMax","calcificationMin","calcificationMax","lifehistorystrategy","growthform","growthformveron","ID"
"1","Acroporidae",1.79247368421053,6.33605263157895,0.0105,0.0200454545454545,"competitive",NA,"branching_open",16
"2","Acroporidae",62.9,62.9,1.82,1.82,NA,NA,"branching_open",17
"3","Acroporidae",28,47.2,1.39,3.19,NA,NA,"digitate",28
"4","Acroporidae",0.25,0.49,NA,NA,"competitive",NA,"hispidose",33
"5","Acroporidae",14.1,33.9,0.61,2.23,"competitive",NA,"digitate",35
"6","Acroporidae",30.194,99.086,-0.93,4.35,"competitive",NA,"branching_open",55
"7","Acroporidae",0.56,0.56,NA,NA,"competitive",NA,"branching_open",62
"8","Acroporidae",16.61,28.19,NA,NA,"competitive",NA,"branching_open",63
"9","Acroporidae",16.7,16.7,NA,NA,"competitive",NA,"tables_or_plates",69
"10","Acroporidae",68.7,153.3,NA,NA,NA,NA,"tables_or_plates",72
"11","Acroporidae",128.333333333333,230.333333333333,NA,NA,"competitive",NA,"branching_open",80
"12","Acroporidae",20.65,47.95,NA,NA,"competitive",NA,"tables_or_plates",81
"13","Acroporidae",28.37,70.43,NA,NA,"competitive",NA,"branching_closed",86
"14","Merulinidae",1.46,3.74,NA,NA,"stress-tolerant",NA,"columnar",100
"15","Merulinidae",2.6,3.4,NA,NA,"stress-tolerant",NA,"massive",145
"16","Merulinidae",3.935,3.965,NA,NA,"stress-tolerant",NA,"massive",173
"17","Merulinidae",3.3,9.9,NA,NA,NA,NA,"massive",177
"18","Fungiidae",0.77,9.95,NA,NA,"stress-tolerant",NA,"massive",193
"19","Merulinidae",0.835,7.165,NA,NA,"weedy",NA,"massive",208
"20","Merulinidae",2.8,2.9,NA,NA,"stress-tolerant",NA,"submassive",209
"21","Merulinidae",1.215,6.885,NA,NA,"stress-tolerant",NA,"encrusting",211
"22","Merulinidae",5.1,7.5,0.25,0.61,"stress-tolerant",NA,"massive",235
"23","Fungiidae",0.9,2.7,-0.05,0.67,"weedy",NA,"encrusting",245
"24","Fungiidae",0.9,2.7,-0.05,0.67,"weedy",NA,"encrusting",246
"25","Acroporidae",126.08,150.92,NA,NA,"competitive",NA,"branching_open",281
"26","Acroporidae",1.29664929243099,7.8151688893872,NA,NA,"generalist",NA,"columnar",306
"27","Agariciidae",0.0707102775708169,0.164289722429183,NA,NA,NA,NA,"digitate",323
"28","Agariciidae",7.06557104837369,21.3473321774328,0.053080365471138,0.226919634528862,"stress-tolerant",NA,"columnar",324
"29","Agariciidae",3.2,14,NA,NA,NA,NA,"massive",326
"30","Merulinidae",0.87,12.33,NA,NA,"stress-tolerant",NA,"encrusting",343
"31","Pocilloporidae",11.6168350770049,51.7454982563284,NA,NA,"weedy",NA,"branching_closed",350
"32","Pocilloporidae",16.4,45.2,NA,NA,"competitive",NA,"branching_open",352
"33","Pocilloporidae",14.46775,36.81325,1.33,1.33,"competitive",NA,"branching_closed",354
"34","Poritidae",7.56,13.44,NA,NA,NA,NA,"massive",366
"35","Poritidae",3.17489868342435,13.7375075665756,-0.0918921197972754,1.67589211979728,"stress-tolerant",NA,"massive",368
"36","Poritidae",6.60181958593922,24.8864562761297,1.31836488837512,3.2171087958354,"stress-tolerant",NA,"massive",369
"37","Poritidae",4,22,NA,NA,NA,NA,"massive",370
"38","Poritidae",0.395,2.145,NA,NA,"weedy",NA,"encrusting_long_uprights",375
"39","Poritidae",1.65,12.75,NA,NA,NA,NA,"massive",376
"40","Pocilloporidae",6.92044821461966,35.2624968368089,NA,NA,"weedy",NA,"submassive",396
"41","Dendrophylliidae",0.26,27.74,NA,NA,"generalist",NA,"laminar",404
