"","family","skeletaldensityMin","skeletaldensityMax","larvalswimmingMin","larvalswimmingMax","colonyshape","substrateattachment","waveexposure","waveexposurepreference","ID"
"1","Acroporidae",0.56,1.28,NA,NA,NA,"attached","sheltered","exposed",16
"2","Acroporidae",1.44,1.44,NA,NA,NA,"attached",NA,"exposed",17
"3","Acroporidae",1.23,1.71,NA,NA,"3.328165053","attached","exposed","broad",35
"4","Acroporidae",1.172,1.748,NA,NA,NA,"attached",NA,"protected",36
"5","Acroporidae",0.56,1.16,NA,NA,NA,"attached",NA,"protected",39
"6","Acroporidae",1.05,1.76,NA,NA,NA,"attached","sheltered","exposed",40
"7","Acroporidae",1.03015204623612,1.52984795376388,NA,NA,"23.26742069","attached","exposed","exposed",41
"8","Acroporidae",1.18,1.36,NA,NA,NA,"attached",NA,"broad",46
"9","Acroporidae",1.46484898469281,2.05515101530719,NA,NA,NA,"attached",NA,"protected",55
"10","Acroporidae",1.4,1.4,NA,NA,NA,"attached",NA,"exposed",57
"11","Acroporidae",1.84,1.96,NA,NA,NA,"attached",NA,"protected",62
"12","Acroporidae",1.162,1.738,NA,NA,NA,"attached",NA,"broad",69
"13","Acroporidae",0.888,2.112,NA,NA,NA,"attached",NA,"broad",81
"14","Agariciidae",1.288,1.972,NA,NA,NA,"attached",NA,"protected",207
"15","Merulinidae",0.77,1.97,NA,NA,NA,"attached",NA,"protected",235
"16","Acroporidae",0.873334707905241,2.16666529209476,NA,NA,"0.559527495","attached","exposed","broad",241
"17","Fungiidae",0.79,2.47,NA,NA,NA,"attached",NA,"broad",245
"18","Fungiidae",0.79,2.47,NA,NA,NA,"attached",NA,"broad",246
"19","Merulinidae",1.34545510777942,1.87454489222058,NA,NA,NA,"attached",NA,"broad",248
"20","Agariciidae",1.12517304492868,2.18816028840466,NA,NA,NA,"attached",NA,"exposed",324
"21","Agariciidae",1.45060715401553,2.47939284598447,NA,NA,NA,"attached",NA,"broad",330
"22","Pocilloporidae",1.58221249379478,2.27112083953855,0,6.49,NA,"attached","exposed","broad",350
"23","Pocilloporidae",1.42,1.42,NA,NA,NA,"attached",NA,"broad",354
"24","Poritidae",0.583334707905241,1.87666529209476,NA,NA,NA,"attached",NA,"broad",360
"25","Poritidae",0.827614034677087,2.01238596532291,NA,NA,NA,"attached",NA,"protected",362
"26","Poritidae",1.14302117092752,1.69472882907248,NA,NA,NA,"attached","sheltered","protected",368
"27","Poritidae",0.96478651532273,1.63742777039156,NA,NA,NA,"attached",NA,"protected",369
"28","Poritidae",0.87,1.47,NA,NA,NA,"attached",NA,"protected",370
"29","Pocilloporidae",0.877275538897084,3.52272446110292,NA,NA,NA,"attached","sheltered","broad",392
"30","Pocilloporidae",1.5117784497401,2.0170429842599,NA,NA,NA,"attached",NA,"exposed",396
